HIST1H2BM
SLC7A11
CDH4
GPSM2
CDCA3
HIST1H2AJ
CENPA
DEPDC1
PSRC1
PLK1
BUB1
HIST1H3J
FAM72A///FAM72D///FAM72B
FAM72A///FAM72D///FAM72B
AKR1C1
FAM72A///FAM72D///FAM72B
UPP1

XPOT
KIF20A///CDC23
CDC20
HIST1H3B
ARHGAP11A
HIST1H1B
TNFSF18
FLJ30064
ANO2
SGOL2
CCNA2
DUSP5P1
FAM72A///FAM72D
HIST2H4B
HIST2H4A
DLGAP5
AJUBA
HIST1H3F
GAS2L3
KIF14
MIS18A
CDC25C

RPL27A
ZNF847P
TRIB3
JADE1
E2F5
HIST1H1D
AKR1C3
CCNF
IARS
ZMIZ1
HIST1H2BF

HIST1H2BH
PCK2
CDCA8
HIST1H4B
HIST1H2AB
ANP32E

OR2B6
RPL22L1

CATSPER3
HIST1H4H
ULBP1
SRXN1
EPB41L4B
LRRC8D
FGF16

KIF15
HIST3H2A
TXNRD1
ASPM
BORA///DIS3

PIGZ
HIST1H3G

HIST2H3D///HIST2H3A///HIST2H3C
LONP1
