HIST1H2BM
HIST1H4B
HIST1H2BH
HIST1H3D///HIST1H2AD
LCN2
HIST1H3B
HIST1H1B
HIST1H1E
TRIM22///TRIM22
HIST1H2BI
HIST2H2AB
HIST1H2AB
BIRC3

HIST1H2AH
HIST2H4B
HIST2H4A
HIST1H3I
AADAC
HIST1H1C
CYP3A7
HIST1H3F
TMEM2
HIST1H2BF
H1F0
KRTAP3-1
KRTAP3-1
LAMP3
VGLL1
HIST1H2BK///H2BFS///HIST1H2BE
HIST1H2AE
TMEM156
HIST2H2AC
HIST1H4J///HIST1H4K
HIST1H3A
IFIT2
HIST2H2AA4///HIST2H2AC///HIST2H2AA3
HIST2H2AA4///HIST2H2AC///HIST2H2AA3
HIST1H4C
GKN2
HIST1H4J///HIST1H4K
TMEM27
KRT15
HIST2H2BC///HIST2H2BE
SGK1
HIST2H2BF///HIST2H2BA
CEL
AOX1
LPXN
CLCA2
SYNPO2
TP53INP1
HIST1H4E
NCF2
HIST1H2AI

SERPINB7///SERPINB7
MDM2
SAA2
TNFAIP3
HIST2H3D///HIST2H3A///HIST2H3C
HIST2H3D///HIST2H3A///HIST2H3C
LINC00518
HIST1H3H///HIST1H2AI
HEG1
HIST1H2BC
HIST1H4A
CTSV
FBXO32
HIST1H2AC
ZNFX1
PRSS23
SAT1
HRASLS2
IDO1
GPRC5B
SLC2A12
ENC1
HIST2H3D///HIST2H3A///HIST2H3C
HIST2H3D///HIST2H3A///HIST2H3C
ATF7IP2
ACSL5
NABP1
DUSP1
OPN3///KMO
NFKBIZ
C1S
NEDD4L
HIST1H2AK
TSPAN8
CCL20
IL1B
LGALS9C///LGALS9B///LGALS9
ARRDC1-AS1
DAPP1
FAM25G///FAM25C///FAM25A
FAM25G///FAM25C///FAM25A
FAM25G///FAM25C///FAM25A
CEACAM1
EDN1
BTG2
C4BPB
HIST1H4D
CYB5R2
HBEGF
H1FX
PLAT
CLIC3
ITGA3
CDH5
ABCC2

ARRB1
CITED2
RNF144B
TRIML2
CYR61
IL7R
CLK4
UGCG
HP
HIST1H2AL
CROT
SVIL
XPC
CLDN16
STAT4
VTI1B///ARG2
POLH
NOTCH1
KRR1///GLIPR1
SERPINE1
ZNF841
TUFT1
ABCA13

DAPK1
KIAA0040
MR1
ABCA12
DNAJC15
CASP10

ACSF2
DNAJB4
WDR63
DUSP14
C12orf5
ADHFE1
HIST1H2BL

LIPH

CDC42EP3
FGD6
CCDC144CP///CCDC144B///CCDC144A
RGS2

MOB3B
TRIM52
HIST1H2BE
NID1
RARB
NUDT7
DDX58
OPN3///KMO
GBP3///GBP1
CDKN1A
CERKL///ITGA4
IFNGR1
DUT
TPST1///TPST1
CLU
MFGE8
TOP2A
RASSF6


FAM86B2///FAM86B1
STX8


HNRNPU-AS1///COX20
KDM6A
CCDC80
FBXW7
HIVEP2
SPTAN1
ICAM1
MAPKBP1
FOS
TSPAN2
DDIAS
SSNA1
IGFBP3
LGALS9C///LGALS9B///LGALS9
WSB1

BDKRB1
CCDC18

HSPA2
SAMD9L
CPA4
KIF2C
MICAL2
CDA
KRT13
DHRS9
OVCH2
NUAK2
FYB

BORA///DIS3
KIF18A
NT5E
ARHGEF3
CFLAR
PCDHB14
ARHGAP24
OSBP2
TGFB2
NPY4R
CCDC144CP///CCDC144B///CCDC144A
NDUFAF4
FAM102B
FAM86FP///FAM86C2P///FAM86EP///FAM86A///FAM86B1///ALG1
PRDM1
PCDHA4
EIF2AK3
JARID2
TNNC1
XPR1
DUSP5
PAPSS2
IL33
ZFP42
HDDC3

CYTH1
KRT14
ARL2
IL1A
PAMR1
SLAMF7
LIMA1
JUN
MAB21L3
FAM126A
LOC388022
COL17A1
SLC7A8
PLCB4
SESN1
RSRP1
SLC31A2
MEGF9
FAM171B
ARHGAP26
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
AASS

HMMR
FAS
NEU1
FAM214A
FAM198B
GNAI1

TIMP3
IFIT3
TSPAN5
LOC344887
OSGEPL1
FAM172BP
NEU1
NEU1
LIPG
MRPS28///TPD52
TMEM179B
INPP5D
EPAS1
ITGB6
GATSL2///GATS
GATSL2///GATS
MOK
NCEH1
RASL11A
HIST2H4B///HIST2H4A
HIST2H4B///HIST2H4A
LIMD1-AS1///LIMD1
SERPINB2
PSG2
ACER2
PPP2R2B
AREG
APOBEC3C
INPPL1
ANKRD1
ARHGEF26
MAZ
ZNF654///CGGBP1
RARRES3
GNE
PLSCR4
SEC14L1
SFT2D3
CCDC3
PAK6
HIST1H2AJ
BCL6
ANKRA2

GALC
RP2
SPAG9
TOB1
DPH6
PDZD2
FAM13B
MPZL2
MERTK
MYBL1
RBBP8
ESCO2
PRO2012
IL1R2

ARNTL
IL1RL1
FAM86B2///FAM86B1
GALNT5

ABCG2
FAM86B1///FAM86C1
DRAM1
KIF13A
RAB30
ATRAID
NLRP10
HIST1H2BN///HIST1H2AK
STARD13
CARD17

STX3
PRKCDBP
GM2A
COQ2
GAB1
MYPN
HIST1H2BG
IL6
SLC15A2
MXD1
DMXL2
FER1L4

ADM
MAP1B
MYLK
SERPINE2

NEXN
CES2
HIST1H4I
FER1L4
TRERF1
SCEL
SNAP23
CHML
ABCA5
CCRN4L
HCP5
SECISBP2
WDR76
BRE-AS1///RBKS
SNAI2
THSD1

MTFP1
PARD6B
TNFSF15

CDK1
SEMA7A
SYTL2
ARL14
GPCPD1
ZFYVE1
NMU
CTSB
NDST1
CTH
GRHL3

MACC1
ARL4C
SRPX2
TOP1
SERPINF1
LINC00965

FN1
C17orf75
LINC00965
FAM63A///ANXA9
TNFRSF21
LCP1///LCP1
HIST1H3J
THOC6///HCFC1R1
FNDC3B
MLLT3
CEP19
C8orf46
TMEM126A
CLK4///CLK4
ZBTB43
PELI2
EVI2B

CAMSAP1
DZIP3
FDXACB1
ZBED2
TNFSF18
SLC16A12

MOSPD1
WDR47
CARD6
CHST11
DNAH14
KIAA1462
CDH1
CALD1
TPMT
ELOVL7

NCOA3
ABCA1
PTGER4
CAMKK1
RND3///RND3
ZNF141
BTAF1
PI4K2A

CSNK1G1
GOLGA4

LDLRAD2///HSPG2
CYBRD1
DDAH1
FYN
EGR1

BLNK
OPHN1
APOBEC3A_B///APOBEC3B
ID1
OMA1
HOXC13
ZBTB10
PARP9
C17orf49
IL6R

SLC4A11
COL4A5

IL1RN

MAP3K1
RAB3B
PRKAB2
ZNF561
GDF15
MKLN1

BAMBI

MID1
TMEM40
PLAU
C11orf68
HIST1H2AM
KIF14
CUTC
KIAA0930
ZNF841///ZNF836
DEPTOR
TNS4
ERI2///ACSM3
UQCC3
CDH3
MILR1
WDR26

SGTB
NMNAT2
LINC00965
LAMB3
SLC12A4
ARPIN
TRAFD1

LINC00965
LINC00965
MATN2
TAF13
CD68
CALCOCO1
HEATR1///LGALS8


JAG1
FBLL1

SLFN5
STAT2
BICD2
ATP1B4
PPARD
MICB
SLC38A4
ACE2

TICRR
FAM86A
ABCC5
GON4L

HIST3H2A
SDC4
ATP5G2
SSFA2
TMEM45A
TGM1
TTK
GCC2
TIPARP
WDYHV1
OR2B6

TRMT112
CLDN1


NSMCE4A
LINC00965
LINC00965
PADI1
SLC37A4

SMURF2
AADAT
SMIM5

HDAC9
FAM86C2P
PLD1
NT5C

ZNF267
PPP1R14B///LIMK2
NUPR1
MARC1
PSD3
CCRL2
HERC6
TPRXL
C17orf53


KLF6
LINC00965
LINC00965
LINC00965
LINC00965
LINC00965
PYROXD1///RECQL
OAS2
LYST

ZNF519
ROR1
FAM47E
NUSAP1
KIF4B///KIF4A
PIAS1
WWC1
TBC1D10A
AAK1
TROAP
TRIM38
TRAM2
RNF114
GOLGA8B///GOLGA8A
EME1
SKAP2
CCRL2
ELL
COL4A1
MIR2110///CCDC186

ERCC6-PGBD3///PGBD3///ERCC6

PTGS1
PINK1
KLK5
APOL1
AAK1
ABL2
ZNF655
ENTPD7
KPNA2


FRMD6
TMPRSS4
ZFC3H1


CABYR
TSPAN7
RBP4

CFH
ZMYND8
SDPR
MAOA
LGR4
COL4A6
CPEB3
FRMD5
MAP3K13
TNC
C8orf44

C5orf38
EHF
CASC5
POMGNT1
TTC9C
RXRB
LINC00965
LINC00965
LINC00965
LINC00965
CLGN
SAMD9

SULT1E1
STAT3
LONRF1
MCM6
GOLGA8B///GOLGA8A
INHBA
C21orf91


SLMAP
DCBLD2
HN1

LINC00965
LINC00965
BMP2
SRGAP3
NUBP1
ATP8B1
KPNA2
LACC1
GINS2

LINC00965
LINC00965
OPTN
CLTC-IT1
ALDH7A1
SECISBP2L
NBPF3
AKAP6
SPATA18

RAB8B


DAB2
FBXO4


TNFRSF10B
VCL
THOC6///HCFC1R1

PRR11
CASP1
DNAJC19
TMEM138
GRAMD3
TM4SF18
