"x"
"LAPTM5"
"PLAT"
"GMFG"
"CD82"
"TRIM55"
"DCLK1"
"THBS1"
"NREP"
"IL7R"
"HIST1H1B"
"GPR87"
"TLR4"
"ALOX5AP"
"HIST1H4B"
"MAMDC2"
"IRAK2"
"HIST1H1D"
"TP53INP1"
"LOX"
"HIST1H2AB"
""
"IFI30"
"HIST1H3I"
"HIST1H4C"
"HIST1H2BH"
"ICAM1"
"SERINC2"
"EDN1"
"STC1"
"MTSS1"
"TOB1"
"HIST2H2AB"
"HIST1H3D///HIST1H2AD"
"HIST1H2AK"
"TNFRSF9"
"SERPINB7///SERPINB7"
"KRT81"
"HIST1H3H///HIST1H2AI"
"C3"
"SLC1A3"
"LRRC17"
"GSN"
"FAM84B"
"FGFBP1"
"LBH"
"HIST1H2AC"
"LPXN"
"DYSF"
"PSG8///PSG7///PSG4///PSG1"
"HIST2H3D///HIST2H3A///HIST2H3C"
"HIST2H3D///HIST2H3A///HIST2H3C"
"GRAMD3"
"HEG1"
"CPM"
"HIST1H3F"
"HIST1H2AE"
""
"PTX3"
"CNIH3"
"HIST2H3D///HIST2H3A///HIST2H3C"
"CSF1"
"HIST1H1E"
"HIST1H4D"
"TNFSF15"
"JUNB"
"ADHFE1"
"F3"
"FJX1"
"GDF15"
"HSD17B2"
"CDH5"
"SNRPA1"
""
"SEMA3A"
"HBEGF"
"TMEM173"
"CSMD3"
"FRG2C///LOC651959///FLJ20518///FRG2///FRG2B"
"MPP4"
"ANTXR1"
"NCAPH"
"NLRP10"
"HSD17B6"
"HIST1H4L"
"SULF2"
"HIST1H3B"
"PFAS"
"TIMELESS"
"ITGA2"
"HIST2H4B"
"HIST2H4A"
"HIST2H2AA4///HIST2H2AC///HIST2H2AA3"
"HIST2H2AA4///HIST2H2AC///HIST2H2AA3"
""
"PXDN"
"EBI3"
""
"HIST2H3D///HIST2H3A///HIST2H3C"
"C5orf30"
"HIST1H1C"
"DEPDC1B"
"HHLA3"
"IGFBP7"
"HIST1H1A"
"RTEL1///TNFRSF6B///TNFRSF6B"
"UBA7"
"MIR224///GABRE"
"VEGFC"
"PLA2G4A"
"AREG"
"SIAE"
"ESPL1"
"TSPAN15"
"NFKBIA"
"OR2A9P///OR2A42///OR2A20P///OR2A1"
"TXNIP"
"DUSP10"
"MCM5"
"KCTD4"
"TANC2"
"DRAM1"
"PHLDB2"
"FANCD2"
"PSG5///PSG3"
"HIST1H3A"
"ANKRD29"
"ACSS3"
""
"CXCR4"
"GATSL2///GATS"
"GATSL2///GATS"
"ADAMTS12"
"MCM2"
"GINS4"
"AFF3"
"KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1"
"KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1"
"ADTRP"
"SMOC1"
"TNFAIP3"
"HIST1H2BI"
"CASK"
""
"EPHA4"
"STARD4"
"RINL"
"FDXR"
"CITED2"
"ZWINT"
"MIS18A"
"LDOC1"
"BUB1"
"HIST1H2AL"
"MR1"
"PRDM1"
"CDC45"
"KCNJ2"
"MCM7"
"IL20RB"
"DOCK9"
"TRIM22///TRIM22"
"ACTA2///ACTA2"
"GALNT15"
"MEGF9"
"CD9"
"OR2A9P///OR2A42///OR2A20P///OR2A1"
"NUAK1"
"AREG"
"HIST1H2AH"
"TSPAN13"
"DLEU2"
""
"KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1"
"KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1"
""
"SLC7A5"
"PGPEP1"
"CTAGE3P"
"LTBP3"
"SERPINE2"
"PDLIM1"
"HLA-DMA"
"HLA-DMA"
"FST"
""
"CKS1B"
"IFIT2"
""
"CYFIP2"
"SPATA18"
"TGFA"
"TRIP13"
"FEZ1"
"TMEM40"
"PCDHB5"
"TGFBI"
"SMAD3"
""
"BBS2"
"TSPAN1"
"FRG2C///LOC651959///FLJ20518///FRG2///FRG2B"
"THAP9-AS1///SEC31A"
""
""
"IRS1"
"HIST2H2BC///HIST2H2BE"
"MTFR2"
"PLCG2"
""
"COL4A5"
"CENPM"
"CDRT1"
"TPM1"
"ARL4C"
"L1CAM"
"TNFRSF11B"
"CKS1B"
"GAS6"
"HIST1H2BL"
"LRP1"
"EYS"
"KDELR3"
"MAGED2"
""
"FBN1"
"CDCP1"
"CD46"
"C8orf44"
"DUSP1"
"INHBA"
"C15orf54"
"IER3"
"DCBLD2"
"FGF11///CHRNB1"
"H1F0"
""
""
"HIST3H2A"
"ANKRD1"
"MFGE8"
"TNFRSF21"
"BTG2"
"CYTH4"
"DUSP4"
"CDKN1A"
"JARID2"
"RHBDF2"
"F2R"
"GTPBP6"
"LAMB2"
