MCM6
HIST1H2BM
GINS2
HIST1H2AM
HIST1H3B
HIST1H1A

FAM111B
WDR76
HIST1H3J
HIST1H1C

CDCA7
MCM10
HIST1H2AJ

MCM3
HIST1H4B
HIST1H1D
MCM4
ORC1

PLA2G4A
HIST1H2AL
E2F8
UNG
HIST2H2AB
MMS22L
HIST1H2AH
HIST1H4C
HIST1H3H///HIST1H2AI

HIST1H2BC
HIST1H2BK

HIST1H2AK
CLSPN

KIF15
GABPB1
CDC6
JPH1
EXO1
CALML4
CDC45
FAM81A
GPD2
HIST1H1E
HIST1H2BF
CHAF1B
CCNE2
POLA1

MCM5


HIST1H2BK///H2BFS///HIST1H2BE
HIST1H3H
HIST1H2BH
HIST1H2AB
HIST1H2AI
HIST1H3F
PLK4
DIS3L
FEN1
CLSPN
RPL27A
POLE2
SNAPC1
STAG1

GMNN
MND1
CDKN2C
NDUFAF4
ESCO2
PRKAR2B
ST6GALNAC3
DNA2
SPC25
USP1
HIST1H3I
HELLS
CDC25A
MSH6
CDC7
ELOVL2
PRKG1
SNORD50B
NCAPH
CHEK1
SERTAD4
HIST1H3D///HIST1H2AD
RFC4
NDC1
BLM

UBR7
DLEU2
HIST1H4D
ORC6
ATAD5
ST6GALNAC3
DSCC1
HIST2H2BF///HIST2H2BA
CDK17
CEP78
SLC7A2
HIST1H1B
ISOC1

SNORA6
DEPDC1B
DHFRL1///DHFR
HIST1H2AE
RBL1
POLR3B
TSEN2
SMC2
