TNFSF4
CCND2
MAMDC2
DCLK1
TP53INP1
IL1B
TGFA
GPR87
GDF15
TLR4
CSMD3
TXNIP
IGFBP7
CD82
SPATA18
IGFBP5
BTG2
PAG1
UBA7
PSTPIP2
PLAT
XPC
TRIM22///TRIM22
SMOC1
PSG5///PSG3
DDIT3
RRAD
ACTA2///ACTA2
FRMD5
IL7R
ICAM1
ITGA2
SERINC2
TOB1
CLDN1
STC1
DKK3
NCF2
INPP5D
GMFG
LOXL4
TSPAN1
HSD17B14
SLC16A12
SGK223
CDKN1A
IRAK2
TRIM55
SESN1
PSG8///PSG7///PSG4///PSG1
NID2
GALNT5
DUSP5
PGPEP1
GPRC5B
COL1A1
ANKRD1
TNFSF15
SAA2
MYH16
FBXW7
PPME1
KCNJ2
CD70
NLRP10
ITGB8
CXCR4
TM7SF2
DYSF
CITED2
PIK3IP1
DRAM1
S100A3
NREP
LRRN4CL
DGKA
NOG
PDLIM1
IL24
SERPINE2
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
GPR110
TENM2
MFGE8
RGS4
DDB2
TMEM40
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
BIRC3
RRM2B
ADHFE1
FDXR
TMEM173
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
FAS
MR1
LACC1
CALCOCO1
RGS5
SULF2
ITGB4
APOBEC3H
DCP1B
UCP2
SLC22A15
CYFIP2
TNFRSF11B
FHL2
EBI3
TRAPPC6A
FABP3
EML2
SESN3
SULT1C2
NEDD9///NEDD9
SERPINH1
TCTEX1D4///PLK3
KITLG
TSTD1///F11R
ALOX5AP
LAPTM5
ITGA10
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
LOX
DSC3
KDM5B
MKNK2
LINC00518
PTPN22
