LAPTM5
PLAT
GMFG
CD82
TRIM55
DCLK1
THBS1
NREP
IL7R
GPR87
TLR4
ALOX5AP
MAMDC2
IRAK2
TP53INP1
LOX

IFI30
ICAM1
SERINC2
EDN1
STC1
MTSS1
TOB1
TNFRSF9
SERPINB7///SERPINB7
KRT81
C3
SLC1A3
LRRC17
GSN
FAM84B
FGFBP1
LBH
LPXN
DYSF
PSG8///PSG7///PSG4///PSG1
GRAMD3
HEG1
CPM

PTX3
CNIH3
CSF1
TNFSF15
JUNB
ADHFE1
F3
GDF15
HSD17B2
CDH5
SEMA3A
HBEGF
TMEM173
CSMD3
FRG2C///LOC651959///FLJ20518///FRG2///FRG2B
MPP4
ANTXR1
NLRP10
HSD17B6
SULF2
ITGA2

PXDN
EBI3
C5orf30
HHLA3
IGFBP7
UBA7
MIR224///GABRE
VEGFC
AREG
SIAE
TSPAN15
NFKBIA
OR2A9P///OR2A42///OR2A20P///OR2A1
TXNIP
DUSP10
KCTD4
TANC2
DRAM1
PHLDB2
PSG5///PSG3
ANKRD29
ACSS3

CXCR4
GATSL2///GATS
GATSL2///GATS
ADAMTS12
AFF3
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
ADTRP
SMOC1
TNFAIP3
CASK

EPHA4
STARD4
RINL
FDXR
CITED2
LDOC1
MR1
PRDM1
KCNJ2
IL20RB
DOCK9
TRIM22///TRIM22
ACTA2///ACTA2
GALNT15
MEGF9
CD9
OR2A9P///OR2A42///OR2A20P///OR2A1
NUAK1
AREG
TSPAN13
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1

PGPEP1
CTAGE3P
LTBP3
SERPINE2
PDLIM1
HLA-DMA
HLA-DMA
FST
IFIT2

CYFIP2
SPATA18
TGFA
FEZ1
TMEM40
PCDHB5
TGFBI
SMAD3

BBS2
TSPAN1
FRG2C///LOC651959///FLJ20518///FRG2///FRG2B
THAP9-AS1///SEC31A


IRS1
PLCG2
COL4A5
TPM1
ARL4C
L1CAM
TNFRSF11B
GAS6
LRP1
EYS
KDELR3
MAGED2
FBN1
CDCP1
CD46
C8orf44
DUSP1
INHBA
C15orf54
IER3
DCBLD2
FGF11///CHRNB1

ANKRD1
MFGE8
TNFRSF21
BTG2
CYTH4
DUSP4
CDKN1A
JARID2
RHBDF2
F2R
LAMB2
