LINC01356
FOS

IFI44L
TRAF1
IFIT2
SESN2
EGR1

WARS

C16orf92///FAM57B
ASNS


DDIT3
BIRC3

CXCL10

SULT6B1
PHGDH
KIAA1804


GYPB
LRRC55
PSAT1

IFIT3

AIF1L

UBE2L6

OR52N4
EPHB1
LTK
TSLP


GDF15
