CCNE2
RFPL4A
SGK1
SERTAD4
ID2
EMP1
FAM187A///CCDC103
SERTAD1
GJC1
ASF1B
FGFR3
E2F2
ID1
TOR1B
ARHGDIB
RHBDD2
ADM
NIPAL1
C1orf213///ZNF436
MLLT11
CRABP2
TNFAIP2
SNRNP25
E2F8
FAM53C
HCP5
FAM111B
CLSPN
PLP2
HSPA2
CEACAM1
CCDC142
PEA15

UCK1
CRIP2
SLPI
TSPYL2
ATP6V0B
RFPL4A
CDCA5
ARL4D
SLC40A1
RIC8A
FAM178A
DNAJC9
DNAJB1
HBEGF

EMP2
ID3
SERTAD3
FOS
CYP2B6
INA
EIF1AD
HEXIM1
TP53INP1
CDK2
AKAP5
TCTA
RNASEL
ADRM1
TNFRSF12A
HSPA1B///HSPA1A
HSPA1B///HSPA1A

VPS18
MFSD5
KRT13
IFI6
FOXO4
C11orf80///RCE1
C20orf24
TMEM40
ZFYVE19///DNAJC17
IL6R
GNL1///GNL1

ETNK2
ZIK1
RNF40
DPF1
MICB
GNL1///GNL1
PKMYT1
ABHD4
SCARNA17
TUFT1
KCTD11
COCH
SLC41A1
HSPA1B///HSPA1A
CXCR4
STRA6
SNORD74
CYHR1
DUSP1
NEU1
NEU1
