HIST1H1B
HIST1H4B
HIST1H1D
HIST1H2AB
HIST1H3I
HIST1H4C
HIST1H2BH
HIST2H2AB
HIST1H3D///HIST1H2AD
HIST1H2AK
HIST1H3H///HIST1H2AI
HIST1H2AC
HIST2H3D///HIST2H3A///HIST2H3C
HIST2H3D///HIST2H3A///HIST2H3C
HIST1H3F
HIST1H2AE
HIST2H3D///HIST2H3A///HIST2H3C
HIST1H1E
HIST1H4D
FJX1
SNRPA1

NCAPH
HIST1H4L
HIST1H3B
PFAS
TIMELESS
HIST2H4B
HIST2H4A
HIST2H2AA4///HIST2H2AC///HIST2H2AA3
HIST2H2AA4///HIST2H2AC///HIST2H2AA3

HIST2H3D///HIST2H3A///HIST2H3C
HIST1H1C
DEPDC1B
HIST1H1A
RTEL1///TNFRSF6B///TNFRSF6B
PLA2G4A
ESPL1
MCM5
FANCD2
HIST1H3A
MCM2
GINS4
HIST1H2BI
ZWINT
MIS18A
BUB1
HIST1H2AL
CDC45
MCM7
HIST1H2AH
DLEU2

SLC7A5

CKS1B
TRIP13
HIST2H2BC///HIST2H2BE
MTFR2

CENPM
CDRT1
CKS1B
HIST1H2BL

H1F0

HIST3H2A
GTPBP6
