TNFAIP3
BTG2
GALNT5
CDKN1A
MYH16

ADAMTS1
TNFSF15
MDM2
SERPINB7///SERPINB7
DDB2
MAMDC2
TDRD6///PLA2G7
LAMB3
XDH
SERPINB5

MGARP
HDAC9
INHBA
RRM2B
STK17A
UCA1
CD180
VIM
FAM46A///FAM46A
WNT7A
OSBPL3

KRR1///GLIPR1
NOG
SPATA18
CEACAM1
KCNJ2
ANXA6
LOX
STC1
JUN
TK1
LIMK2
AEN

ATF3
PSTPIP2
ENO2
SESN1
FGFBP1
TMEM40
PHLDA3
FOXJ1
SLC1A3
FAS
MGAM
PLAT
MYLK
FDXR
SLAMF7
SULF2
PPM1D
IRF6
DUSP14
TP53INP1
GDF15
FDPS
PI4K2A
CCNE2
SLC12A4
STOM
ITGA2
TRIM22///TRIM22
TCF19///TCF19
TCF19///TCF19
NDRG1
FDPSP2///FDPS
CHST6
TGFA
FAM111B

DTL
FDPSP2///FDPS
EPHA2

TCF19///TCF19
SFN
AKAP12

BRIP1
TUBA1A
PLOD1
LRRC46
APOBEC3C
KATNAL1
LIPG
APOBEC3H
MFI2
S1PR1
NOTCH1
MYO1E
MVD
MGP

MAK


ZMAT3
GUCY1A3
CPEB4
EDA2R
PLAU
CLSPN
RAP2B
SPOCD1///SPOCD1
SERPINE1
ATP6V1E1
KIAA1217


GNA15
LOC100129518///ACAT2
CD274
AOX1
SLC2A14
GADD45A
POLH
INPP5D
KLF6
KLF4
PTGS2
NCF2
DOCK5
SUCO
INA
FRMD5
DPYSL2
DGKA
KIAA1549L
IGFBP7
LIPH
ANK1
GLS2
IL1RN
MMP14
GINS4
APOBEC3A_B///APOBEC3B
WDR63

LSS

ATP6V0A4
HSD17B7P2///HSD17B7
HSPA4L
MIR205HG///MIR205
MSX2

SIK1
PRSS3///PRSS2


NTPCR
FST
IQCG
DUSP6
TM7SF3
MAST4
TBC1D2
LIG1
LPXN
ENDOD1
