
















HIST1H2BH
SNORD14E




DIO2
SNHG1///SNORD29













SNORA45B


SNORD30
HIST1H2BI







FIGN










ZFHX4







CA2









HNRNPU-AS1///COX20





DUT




WDR76






UTP20





MDC1
MDC1













SNORD4B

TRIM52
MCM10


WEE1



SNORD36A///SNORD36C///RPL7A


FAM111B
HIST1H2BL







STAG1






NOP16


KIF15
WEE1

SACS

LRR1
HIST1H2BK///H2BFS///HIST1H2BE



RNY4





WDR5


UIMC1
UIMC1


GPATCH4
SNORA75


ARHGAP26
