TDRD6///PLA2G7
LGI1

POSTN
LUM

CLEC4D
PIFO
PRDM1

PTCHD4
PROS1
CLEC4E
NECAB1
DRAM1

NTF3
DACT1
CLEC6A
CPE


HAS2
YAF2
SNORD116-18
GAD1
HMCN1

TFPI
DAZL
CDH9


FLJ45950
HIST1H3E
VCAN
FAS

TMEM232
FAM214A
IL6ST

MYRFL
RPL23AP53
KCND2
ZNF431
LY75-CD302///CD302///CD302

SCG3
LPAR6



ANKRD20A8P


ZNF708

ZNF567
ERAP2
PPM1K
ATP8B4
KAT2B
KLHL4
ERVK-4
FSIP2


NRIP1
TXNDC16


MICU3
SAMD9

SLC16A10
ANXA4


AOAH

ZNF506
DRAM2
ZNF781

NAALAD2


MANSC1

CEP162

FST
FMN1
ELTD1
ZNF675


CFLAR






UGT8



SPOPL



GLT8D2
GPR126

FAR2

NANOGP1///NANOG


ZNF117///ERV3-1
ZNF43



ZNF582


GXYLT2

SVEP1
GPR141
KCNT2
DDX60L

PLCB4
RFC1



PLK2
SESN1

LRRC17
ZNF273

TMEM133
TOB1
ZNF138
CEP170P1
LRRN3
FER


IKBIP
ANKRD20A8P



TP53INP1
CFTR


ZNF430
NPHP3-ACAD11///ACAD11
CROT

MAPK10
NANOGP1///NANOG
PTP4A1

APLF

MBNL3
PGAP1

ANKRD20A12P///ANKRD20A8P
SAMD9L
FAM221A

ZMAT1

SLC34A2
FGD4
PATZ1///MYO6
TRAPPC2
LXN
ATXN7L1
UGGT2

TEX9
FAT4
ZDHHC21




SETDB2


ANGPT2

ZNF860
RPE


IFI16
SNORA8///TAF1D

GABRB3
ITFG1
PEAK1

C9orf85

GSAP

FKBP7
APPBP2
TRPC6


REEP3
CDKL5

KRBOX4




NR1D2
CNTNAP3B///CNTNAP3
GRHL3
ERMN

LMBRD2
SERTAD2

ZNF33B
CALCRL

ASCC3
