CFHR3






KIF14





HIST1H2AJ

NDC80
FBXO43








SGOL2
GPSM2







CEP55



KIF23
ARHGAP11A





TAF1A






MDM4


DLGAP5



BUB1
HIST1H2BH
KIF11
HIST1H4E











MCM8












CENPJ








OR13C2
MTMR7

NALCN


LOC613266
CCNB2
GAS2L3
HIST1H1T
AFF3
CFHR2


LINC00314


LCORL///NCAPG
CYP2C8///CYP2C19


EEF1E1
NUF2


KRT19







CNIH4






LIAS
TMEM51-AS1
SERPINB4///SERPINB3
CENPE


ICT1

OR1J4


UTP20


CKAP2L


TAF4B

CENPF


FAM72A///FAM72D///FAM72B

FAM72A///FAM72D///FAM72B
