ACTR3C
FHIT
ZNF737

SLC16A4
SLC9A9
CCDC80
LINC00910


HSD17B6

ITGB6




HIST1H4B
LOC645188
GDPD1
PCDHB14

TPD52L1
SLC10A5

MCM6




SNORD116-29
SNORA5A


SLC38A6


HIST1H3A


MMP2


MAP2
ZFP14
SLC35A1

C6orf165
ARHGAP44
SERPIND1

STXBP5

HIST1H2AB

LRRC6



NEK11



HIST1H1A
KCNRG///TRIM13
HIST1H2AH

CYP24A1
FBXL13
MIR10A



PDGFD





CCNE2





EYS
NAALADL2

FAM111B

OR4C12

FANCF







SNORD20
FAT4
ZFP69B






SNORD43


