CDKN1A
CCNE2
SULF2
CLSPN
RRM2
E2F2
BTG2
MCM10

HLA-DPA1
DSCC1
E2F8
E2F7
ESCO2
CXorf57
ASF1B
EXO1

TP53I3
UBE2T
KIAA0101
RRM1


HLA-DPA1
HLA-DPA1
CDCA5
NTS



PSMC3IP
CENPO///ADCY3
GINS3
DTL
FAM111B
FAM111A
POLH
DSN1

CLSPN
FANCI
COL1A1
PASK
NUSAP1
SYTL5
MND1
ARL4A
DDB2
FANCA
MYBL2

DONSON
MTFR2
ERVMER61-1
FAM105A
QPCT
FEN1
RPS27L
MCM8
LETM2
ATAD5
LYRM5
CDC6

CXCR4
HLA-DMA
HLA-DMA
TRIP13
BIRC3


CIT
SPC25
RHCG
RAD51AP1
CDC25A
PRIM1
