HIST1H2AJ



WDR76





LPCAT2



CLIC5
FAM111B
RPL21P44








LEFTY1
TPTEP1
FAR2P1
GJB7



CAMKMT
C10orf107

ARHGAP44
SNORD116-21
KCNIP1
SLC4A4





OR10H1








KRTAP21-1









ALG14



TRIM64B///TRIM64
TRIM64B///TRIM64


BTF3P9

OR10A2///OR10A5




TP53TG5








HIST1H2BL




BEND6
