IL1A
STC1
ACTBL2
KLHL24
RSAD2
IL6
C15orf54
IFI44L

SLC16A4
ATP6V0A4



KRT23

TNFRSF11B
SCEL
ANKRA2

SAA1

IFITM1
SLITRK6
SAT1
PRDM1
EPB41L4A
XAF1

UCA1

VLDLR


FILIP1L


P4HA1
YPEL5


IL7R

REEP3
TUBAL3
AMIGO2

FKBP9P1

ARRDC3
PLOD2

RASGRP3

LCN2

MARCH3
SLCO2A1
LXN
PRDX5

LAMP3

IL1RAP
MUC12
CASC1
FBXO32
MYH16
LEMD1

CFHR1
SLC2A3
