ANKRD1
LIPH
SLPI
MUC13
TNNC1
SCEL
TRIM31
GPRC5B
IFI44L
TUFT1
TRIM31
BIRC3
CXCL8
VTCN1
HCP5
TCN1
CGN
TIMP2
CPA4
MR1
CCL20
MILR1
TMPRSS11E
TMPRSS11E
EMP1
HLA-DMA
HLA-DMA
BCL2L15
FBXO32
MICB

HLA-DMA
KIF3C
CEACAM1
OAS1
TM4SF1
SLC7A7
TRIM31
PLIN2
KRT4
AQP3
HPSE
SEMA3B
KLHL41
LAMB2
NIPAL3
RFX5
GALNT5
LOC100288114///ZNF667-AS1
BCL6


C1R
KDELR3
USP11
APOL1
CLSTN3
SERPINB2
TMPRSS11F
ARHGAP18
FBXO16
PADI2
PTPRH
HMGCL
TNFSF15
HBEGF
SLC26A3
LAMP3
KRT80
PTPRB
STOM
RND1
ACSF2
NFKB2
EPS8L3
RASSF2
SERPINB9
APH1B
SPAG1
OAS3
C1orf116
DNAJC12
FCGRT
TSPYL2
CAPN13
PLD1
UBALD2
SLC12A2
HLA-DPA1
HLA-DPA1
IFI30
TLR1
MFI2
RRAGD
DHTKD1
PGM2L1
CA11
C4BPB
IL1B
SLAMF7
LGALS9C///LGALS9B///LGALS9
C12orf36
LETM2
NAGA
C15orf52
SLC5A9
MXD1
IDH2
MBNL2
CYR61
RFPL4A
YPEL2
CXCL5
WDTC1
SAMD9
SLC16A5
OR4C6
LYZ
STAT4
PLEKHB1
PON3
ZNF185
PCDH18
PNRC1
DNAJC28
STYXL1
SLC12A6
PVRL4
MFAP5
HPS5
DAB2
AACS
SPATA6L
MICB
TLR4
