EPHA4
POSTN
GAD1
DDB2
TDRD6///PLA2G7
COL1A1
TRIM22///TRIM22
PTCHD4
HOXA1
CPE
LAPTM5
ACTA2///ACTA2
ZMAT3
PRICKLE1
RNF43
APLP1
SVEP1
MMP2
SEMA3E
GMFG
CLEC1A
OLIG3
KITLG
RHOU
A2M
NPHP3-ACAD11///ACAD11
RDH10
TP53INP1
CA11
LEF1
PAMR1
TSPAN11
MATN2
CRABP1
COL6A3
VCAN
CLYBL
GPC3
CYFIP2
MMP14
DLK1
HLA-DMA
HLA-DMA
EGR2
TNFRSF10B
ANXA4
EPAS1
ANKRD20A8P
PRDM1
MYO3B
TRANK1
GIP
LGALS3BP
PLEKHG1
GDF15
HLA-DMA
SAT1
FDXR
AEN





GSN
PGA4///PGA3///PGA5
IFITM1
SLFN11
DACT1
C2
MAPK10
ERAP2
FST
TP53I3
RFTN2
LGI1
TNFAIP6
FAS
IFI6
WNT8A
CXCL16
HSD17B14
PMEL
RPS27L
POU5F1P4///POU5F1P3///POU5F1B///POU5F1///POU5F1P3
MSX2
ST6GALNAC5
CLCA2
NXF3
FN1
PLK2
PGA4///PGA3///PGA5
C2
C2
CLEC4E
DRAM1
GRHL3
ILDR2
COBL
MAOB
SNORA21
HHAT
CD44
TM7SF3
PGA4///PGA3///PGA5
MOXD1
TEX37
CD52
EGR1
MBNL3
ADAMTS9
MCTP1
THY1
MAP4K4
INPPL1
NRXN3
KIAA1217
AAK1
PCDH10
SLC35F1
ATP9A
SDC4
TNFRSF10D
CD24
NRIP1
MFGE8
GXYLT2
RNF217
FAR2
DSP
HPD
ZMAT4
LPHN3
ST6GALNAC5
LTBP1
MIR675///H19
TGFB1
TPD52L1
RIMS2
POU5F1P4///POU5F1P3///POU5F1B///POU5F1///POU5F1P3
POU5F1P4///POU5F1P3///POU5F1B///POU5F1///POU5F1P3
NCKAP5
AOC3
RRM2B
C1R
BMP5
HMCN1
CD4
APOBEC3H
ROR2
ISYNA1
IGFBPL1
MRAP2
PCSK6
KAT2B
CCND1
CPXM1
CROT

COL4A5
TNFRSF19
C1S
PPM1D

KYNU
MYBPC1
FBN1
SESN1
IFI35
COL4A1
ARID5B
INPP5D
MOV10
VNN2
IFI16
IFIT2
TAC3

ETV5

SASH1
NICN1///AMT
PROS1
HLA-C///HLA-B///HLA-C///HLA-B
PIFO
