HIST1H2AB
HIST1H3J
SERPINE1
HIST1H4B
ITIH2
HIST1H2BM
HIST1H4J///HIST1H4K
SLC9A9
HIST1H3H

HIST1H2AL
SLC35F1
FLRT2
SCFD2
HIST1H2BJ
HIST1H2AK
CNTN1
HIST1H3C
HIST1H2AI
SPOCK1
BRINP1
ADAMTS1
HIST1H2AH
CDH6
HIST1H3H///HIST1H2AI
HIST1H2BB
MAML3
HIST1H3G
NCK2

HIST1H4H
MSRA
LFNG
HIST1H2AJ

HIST1H3A

ID2

LONRF2
SLC39A11

PPP2R2C

ELMO1
CPLX2
ROBO1

VAV2
GINS2
HIST1H2BF
GPC6
ALB
ID1
HIST1H3D///HIST1H2AD
TRAPPC9

HIST1H2BI
FST
HIST1H3F


PLCB1

PART1///PDE4D

BMPR1B
HIST2H2AA4///HIST2H2AC///HIST2H2AA3
HIST2H2AA4///HIST2H2AC///HIST2H2AA3

LRP8
MCM6
RPL27A
SDK1
GPC1
NRG1


GABRA3
CEMIP
JAG2
HIST1H2AE
MMP2
NBEA
HIST1H4D

KRT75
CACNG4
ULK4

ANTXR2
HIPK2
NELL2

HIST1H2BH

NAALADL2


HIST2H4B
HIST2H4A

ABCC4
SNAI2
SNORD14E
CNTN4
SYNM
SNORD14C
HIST1H4I

HNF1A-AS1

CTSD
MCM9
GALNT10
