APOBEC3H
EPCAM
DDB2


BTG2



SFN

CDKN1A
TP53I3
CTAGE8///CTAGE4///CTAGE9///CTAGE15///CTAGE6


SPATA18



PDCD4





OAS1
TP53INP1


ZMAT3
ZSWIM3
OR4X2
HHLA3
FAM214A
HIST1H2BB
FDXR
POLH
TLR3
PROCR

BHLHE40
RPS27L


SLC2A12
TSTD1///F11R

PIK3IP1
OAS2

GAS6-AS1
SNORD115-44///SNORD115-43///SNORD115-41///SNORD115-39///SNORD115-38///SNORD115-36///SNORD115-34///SNORD115-31///SNORD115-29///SNORD115-26///SNORD115-22///SNORD115-16///SNORD115-11///SNORD115-7///SNORD115-6
ANKRA2



LGI1


BTN3A2
