SLC7A5
ASNS
SFRP1
DHRS2
CHAC1
PCK2
CARS
MT1G
MT2A
GARS
MT2A
HERPUD1
ALDH1L2
HIST1H2BM
MYC
MT1F
YARS
MTHFD1L
ATF4
SHMT2
PYCR1

MT2A

ULBP1
MTHFD2
MARS
PCSK7///TAGLN
TRDMT1
XPOT
ANXA3
SLC7A1
BCAT1
ASS1
SOX21
AARS
HIST1H1T
FGFBP3
VLDLR
SLC1A5
H1F0
SLC38A1
TARS
FGFR4


MT1X
ZNF204P
ADM
INSIG1
WARS
FZD5


PSPH
SNRNP48
SCD
LPGAT1

SNORD74
TDGF1


GALNT6
SLC3A2
