ABCA12

LAMP3
TP53I3
IL1B
TGFA
CD82
HMMR
CIT
AREG
MAMDC2
MYH16
SMOC1
PTPRU

UBE2C
NEK2
CENPF
IL6
PSTPIP2
EFCAB10///RINT1
LAPTM5
TMEM71
CREB3L2

EME1
TOP2A
PLAT
PAPPA-AS1///PAPPA

FAM72A///FAM72D///FAM72B
CDC25C
PRODH
DDB2
FAM72A///FAM72D///FAM72B
PRR11
SESN2
FAM72A///FAM72D///FAM72B
ACTA2///ACTA2
MORC4
PLAU

MORC4
FAM72A///FAM72D

SAA2
RINL
ADORA2B
APOBEC3A_B///APOBEC3B
NUF2
KIAA1462
SGOL1
STOM
NTPCR
REEP2
FAM27B///FAM27C
KCNJ2
IGDCC4
GDF15
DUSP4
ETV5
MYRIP
FDXR


APOLD1
CES2
CKS1B
NCAPD2
SERPINB5
DNAJC4
PAG1
PXDN
MARCH3
ASPM
PTTG3P///PTTG1
ANKRA2
FAS
PLTP
CXCL8
CKS1B
TROAP

SPAG5///SPAG5
CDK1
SLC47A1
FLJ38894
CXCL2///CXCL1
PAK6///BUB1B
DDIAS
GPC1
CCNB2

CCDC107///ARHGEF39
TSPAN10
DEPDC1
REG1B///REG1A
RDH10
CDKN1A
KIF14
ETV4
ITGA2
HJURP
SRA1
E2F7
ATP6V0A4
NCAPH
KIF2C
CYP3A7

CEACAM1
OSBPL3
DEPDC1B
AURKA
MORC4
POC1A
FST
GTSE1



AURKB
BIRC3
WNT5A
RGS4

KIF20A///CDC23
TCTEX1D4///PLK3
THSD1

PLK1
AREG

BCL2L1
CENPA
YBX3
ACER2

