


























SNORD1B









ACTG2







SLITRK5




SNHG1///SNORD27









CYSLTR2











SNORD77
SNORD44












PNN
BLOC1S4










TAF7L
COX8C

CD3EAP



HMGA2






HLA-DOB



SNHG12///SNORA16A///SNORA61///SNORA44///SNHG12
TEKT2










LOC100130876
ZNF852










DEFB110

SNORD36B


SNORA33


SNORD49A
KIR3DS1///KIR3DL1///KIR2DL4



TAS2R46

NPHS1

HLA-DOB
SNORD50B
SNHG1///SNORD26

LOC100506242



SNORA45B
ZNF77


SNORD74
EBNA1BP2





TTTY6B///TTTY6///TTTY6B///TTTY6
TTTY6B///TTTY6///TTTY6B///TTTY6


SNHG1///SNORD31

TARP///TARP///TRGV7///TRGV5///TRGV3///TRGC2






