OSTN
MAP2K6
HIST1H2BM
SGCZ
LIN28A
HIST1H1D
LHX8
SPRY1
PTPRD
DDIT4
NAALADL2
CYP1B1
CNTN5
SLC30A8
INHBE
H1F0
C8orf4
LRP1B
CDH10
NR1D2
PYROXD1///RECQL
PCDH10
GPC3
IL20RB
GJA1
ZFPM2
PCDH9

GPM6A
BAI3
POSTN

GMDS

ME1
SCN3A
MAP2
LPHN2
SNX29
LIN28B
SDC2
LAMP3
RPS6KA2
STC2
SH2D4A
MEIS1
TMEM88
HGF
TCP11L2
ARRDC3
CHAC1
CTH
COMMD10
FREM2
FLNC
HIST1H1T
HIST1H2AK
NLGN1
CFH
CTNNA2
SCN9A
PAX9
GRB10
SCFD2
ANKS1B
HIST1H1E
MMAA
PRKCH
HIST1H2BI
POU1F1


SIRT1
PRKG1
RGS1
ERBB4
IL1RAPL1

SSBP2
MIR7-3HG
ADAMTS3
HIST1H2BK///H2BFS///HIST1H2BE
MDGA2
AP4E1
SPRY2
SMARCA4
SPARC
ZNF788
HIST1H1B
PLCXD1
AASS

HIST1H3I
PTPRG
ARHGAP28
GPC6
SLC2A1
HIST1H4B
OSBPL10
HIST1H2AB
PLCXD1
FLRT2

HOXA5
CHRNA9

GSG1

CCDC50
NEBL
ICT1
FAM110B
SLC6A9
FAM84B
E2F5
CSMD3
HIST2H2AA4///HIST2H2AC///HIST2H2AA3
HIST2H2AA4///HIST2H2AC///HIST2H2AA3
JAZF1
RSPO3
HIST2H3D///HIST2H3A///HIST2H3C
STAG1
IMMP2L
LMO4

HIST2H3D///HIST2H3A///HIST2H3C
HIST2H3D///HIST2H3A///HIST2H3C
HIST1H2AE
SEMA6D

FERMT2

HYDIN2///HYDIN
FADS2
PLK1
RBMS3
MAGI2
LRRC8D
HIST2H4B
HIST2H4A
NCAM2
DEPTOR
HIST2H2AC
BCOR
MUC15
FER
CECR2
JMY

TAPT1
PRKCB
MYPN

HIST2H2AB
FIBIN
TRPC4
HIST1H2BB
HIST1H3D///HIST1H2AD
CNTNAP3B///CNTNAP3
CNTNAP3B///CNTNAP3
HIST1H2BL
PCK2
PSEN2

ST6GAL1
DHRS2
HIST1H2AH
TBL1X
SIX1
FLJ16734


