HIST1H2BM
HIST1H4B
HIST1H2BH
HIST1H3D///HIST1H2AD
HIST1H3B
HIST1H1B
HIST1H1E
HIST1H2BI
HIST2H2AB
HIST1H2AB
HIST1H2AH
HIST2H4B
HIST2H4A
HIST1H3I
HIST1H1C
HIST1H3F
HIST1H2BF
H1F0
HIST1H2BK///H2BFS///HIST1H2BE
HIST1H2AE
HIST2H2AC
HIST1H4J///HIST1H4K
HIST1H3A
HIST2H2AA4///HIST2H2AC///HIST2H2AA3
HIST2H2AA4///HIST2H2AC///HIST2H2AA3
HIST1H4C
HIST1H4J///HIST1H4K
HIST2H2BC///HIST2H2BE
HIST2H2BF///HIST2H2BA
HIST1H4E
HIST1H2AI

HIST2H3D///HIST2H3A///HIST2H3C
HIST2H3D///HIST2H3A///HIST2H3C
HIST1H3H///HIST1H2AI
HIST1H2BC
HIST1H4A
HIST1H2AC
HIST2H3D///HIST2H3A///HIST2H3C
HIST2H3D///HIST2H3A///HIST2H3C
HIST1H2AK
ARRDC1-AS1
HIST1H4D
H1FX
ITGA3
HIST1H2AL
HIST1H2BL

HIST1H2BE
NUDT7
DUT
FAM86B2///FAM86B1
STX8
HNRNPU-AS1///COX20
SSNA1
PCDHB14
NDUFAF4
FAM102B
FAM86FP///FAM86C2P///FAM86EP///FAM86A///FAM86B1///ALG1
PCDHA4
HDDC3
ARL2
