STX8
PAPPA2
LTBP1
EXOC4
BCAS3
CNTN1
GMDS
GPC5
SCFD2
TRAPPC9
GDA
PITPNC1
PLXNA2
NELL2
LAMA4
PLCB1
DNER
CCNE2
BBS9
DOK5
RFPL4A
SLC35F1
TNC
SGK1
PRKCB
ADAMTS9
DIAPH2
KCNIP1
PTPRM
ASNS
DOCK4
SLC39A11
ITPR1
SNX29
FREM2
SERTAD4
BRE
RAB11FIP2
ID2
PAM
GHR
EMP1
FAM187A///CCDC103
SERTAD1
SLIT2
CNTN4
GJC1
ASF1B
FRAS1
UST
CAMKMT
CDH20
FGFR3
THSD4
SUPT3H
ST6GALNAC3
GPC3
E2F2
ST6GALNAC3
PCP4
ID1
TOR1B
CLYBL
CPQ
ARHGDIB
B3GALT1
RHBDD2
TENM3
ADM
ROBO1
NIPAL1
MACROD1
C1orf213///ZNF436
CPS1
MLLT11
CRABP2
KAL1
LOC100133920///LOC286297///MTHFD1L
TNFAIP2
SNRNP25
DOCK1
ATG10
GPHN
UTRN
KCNQ5
E2F8
FAM53C
IMMP2L
HCP5
FAM111B
SCN2A
SMYD3
COL5A2
TBC1D5
MTHFD1L
CLSPN
PLP2
COMMD1
EXOC6B
VPS13B
HSPA2
CDKAL1
ERBB4
SEMA5A
RABGAP1L
FAM172A
CEACAM1
SLC7A11
ERI2///ACSM3
CCDC142
PEA15

TMTC2
MYO1D
UCK1
RAD51B
CFI
ZRANB3
CRIP2
SLPI
GARS
SEMA3C
AKAP6
TSPYL2
ATP6V0B
SNTB1
RFPL4A
CDCA5
ARL4D
SLC40A1
RNF180
RIC8A
CHAC1
C1orf186
FHOD3
CDKL2
SUCLG2
FAM178A
IL1R1
DNAJC9
KIAA1324L
DNAJB1
HBEGF

SERPINA3
RNF144B
EMP2
DPP10
ID3
GRIP1
LARGE
SERTAD3
IQGAP2
FOS
VEPH1
CYP2B6
MOB3B
TMEM108
INA
EIF1AD
AK7
HEXIM1
ANK3
DTD1
TP53INP1
CUX1
LRBA
NFIA
CDK2
AKAP5
KIZ
TCTA
RNASEL
MAP2K6
TBL1X
ADRM1
TNFRSF12A
HSPA1B///HSPA1A
HSPA1B///HSPA1A
GTDC1
ARHGAP26

VPS18
CADPS2
NEGR1
MFSD5
KRT13
IFI6
FOXO4
C11orf80///RCE1
C20orf24
FUT8
ARSG
ARL15
CTH
DDR2
GALNT14
TMEM40
PLCG2
FBN2
C14orf37
ZFYVE19///DNAJC17
IL6R
TMEM232
MOXD1
SHISA3
PTPN14
GNL1///GNL1

SLC9B1
ETNK2
ARSB
ZIK1
MBD5
RNF40
DPF1
SHISA2
MICB
PTPRG
GNL1///GNL1
PIEZO2
PKMYT1
SBF2
ABHD4
SCARNA17
FN1
KCNJ3
COL26A1
TUFT1
KCTD11
COCH
SLC41A1
MECOM
HSPA1B///HSPA1A
SND1
CXCR4
SLCO3A1
RPS6KA2
STRA6
PLCH1
SNORD74
SLC8A1
MYLK
CYHR1
DEPTOR
