STX8
PAPPA2
LTBP1
EXOC4
BCAS3
CNTN1
GMDS
GPC5
SCFD2
TRAPPC9
GDA
PITPNC1
PLXNA2
NELL2
LAMA4
PLCB1
DNER
BBS9
DOK5
SLC35F1
TNC
PRKCB
ADAMTS9
DIAPH2
KCNIP1
PTPRM
ASNS
DOCK4
SLC39A11
ITPR1
SNX29
FREM2
BRE
RAB11FIP2
PAM
GHR
SLIT2
CNTN4
FRAS1
UST
CAMKMT
CDH20
THSD4
SUPT3H
ST6GALNAC3
GPC3
ST6GALNAC3
PCP4
CLYBL
CPQ
B3GALT1
TENM3
ROBO1
MACROD1
CPS1
KAL1
LOC100133920///LOC286297///MTHFD1L
DOCK1
ATG10
GPHN
UTRN
KCNQ5
IMMP2L
SCN2A
SMYD3
COL5A2
TBC1D5
MTHFD1L
COMMD1
EXOC6B
VPS13B
CDKAL1
ERBB4
SEMA5A
RABGAP1L
FAM172A
SLC7A11
ERI2///ACSM3
TMTC2
MYO1D
RAD51B
CFI
ZRANB3
GARS
SEMA3C
AKAP6
SNTB1
RNF180
CHAC1
C1orf186
FHOD3
CDKL2
SUCLG2
IL1R1
KIAA1324L
SERPINA3
RNF144B
DPP10
GRIP1
LARGE
IQGAP2
VEPH1
MOB3B
TMEM108
AK7
ANK3
DTD1
CUX1
LRBA
NFIA
KIZ
MAP2K6
TBL1X
GTDC1
ARHGAP26
CADPS2
NEGR1
FUT8
ARSG
ARL15
CTH
DDR2
GALNT14
PLCG2
FBN2
C14orf37
TMEM232
MOXD1
SHISA3
PTPN14
SLC9B1
ARSB
MBD5
SHISA2
PTPRG
PIEZO2
SBF2
FN1
KCNJ3
COL26A1
MECOM
SND1
SLCO3A1
RPS6KA2
PLCH1
SLC8A1
MYLK
DEPTOR
GJA1
ITPR2
