CPA4
LCN2

NUPR1
ABCA12
DDIT3
GDF15
TRIB3
KRT80

CEL
CDKN1A
BDKRB1
TIMP3
LAMP3
AREG
WARS
AREG
LAMB4
SPATA18
INPP5D
STC2

EPPK1
SNHG12///SNORA16A///SNORA61///SNORA44///SNHG12
NCF2
PMEPA1

ABCA1

VGLL1
TRIM22///TRIM22
PSG5///PSG3
WDR63
AKR1C1

SLC38A4
SLC6A9
MDM2
ZNF750
GADD45A
THBS1
CEACAM1
GPNMB
SPRR1B
PLEKHG1

TP53I3
SPTAN1
GFPT1
FAM129A
C6orf48
C6orf48
ARRDC4
MRGPRX3
CXCL14
OVOL1
SPINK6
TTTY13///TTTY13
RETSAT
HTR1D
WFDC5
TMEM40
FAM102A
FAM198B
SLFN5
SERPINE2

DCLK1
PTGS2
ISG15
SLFN12L
UBA7
CEMIP
ICAM4
BCORP1
RHOU
CHAC1
ZNF841
SFMBT2
LOC100129434///CCDC85A

ZFAS1
HIVEP2
AKAP6
TGM3


KIAA0247
RDH12
GBP3///GBP1
ESRP1
AMOTL1
ACTA2///ACTA2
TANC2
RASSF5
AARS
CYFIP2
XBP1
SARS
COL4A5
BEST1
COL12A1

STAT4
TP53INP1

AKR1C1
RNASE7

LTB4R2///LTB4R

AAK1
SPATS2
LYPD3
