
LIF
WDR63
MR1
POLH

GLDC
DRAM1

CMBL
ANXA4
E2F7

DDB2
MIR137HG




ACTA2///ACTA2

LYPD1///GPR39
VAMP8
CYFIP2
SESN1

SCIN
PIK3R3

PATZ1///MYO6

PCNA-AS1///PCNA

RPL23AP53
TRIM22///TRIM22
STARD6
IFIT1

SEPT3
LOC388022

SLC9A7


TPTEP1
HERC5



ZNF737
TOB1

AREG

CA12
PAPPA-AS1///PAPPA
SULF2



HSD17B7P2///HSD17B7


RGL1
FAM114A1
PDE5A
CRELD2

ZMAT3


RPS27L

PRRG1
NTPCR
KRTAP21-1

INPP5D

OR5M3
IFFO2


CRABP2

SCD5
TSPAN5
CDKN1A

